CreditScore,Balance,EstimatedSalary
523,0,62030.06
635,123497.58,131953.23
772,152400.51,79414
545,0,199638.56
634,103097.85,157577.29
739,126418.14,134420.75
771,77846.9,99805.99
587,0,97932.68
681,0,170968.99
544,79731.91,57558.95
696,0,176713.47
766,0,34283.23
727,0,198637.34
671,37266.67,156917.12
693,127992.25,50457.2
850,54901.01,140075.55
732,108748.08,65323.11
726,99906.19,64323.24
557,184686.41,14956.44
682,110654.02,111879.21
738,79019.8,18606.23
531,99240.51,123137.01
498,0,148528.24
651,0,13898.31
549,0,81259.25
791,52436.2,161051.75
650,0,191599.67
733,100337.96,48559.19
811,149297.19,186339.74
707,0,33159.37
712,145605.44,93883.53
706,0,110899.3
756,0,11199.04
777,0,189992.97
646,84026.86,164255.69
714,0,152167.79
782,0,33949.67
775,0,68143.93
479,138718.92,47251.79
807,118274.71,25885.72
799,174185.98,192633.85
675,113208.86,34577.36
602,103907.28,161229.84
475,119023.28,100816.29
744,166297.89,181694.44
588,0,79078.91
703,63227,137316.32
747,94521.17,194926.86
583,0,51285.49
750,112822.26,150401.53
681,0,112491.96
773,135903.33,73656.38
714,125169.26,106636.89
687,0,155853.52
511,149117.31,162599.51
627,0,103737.82
694,0,160990.27
616,132311.71,15462.84
687,0,10334.05
712,0,190686.16
553,118082.89,94440.45
667,119266.69,28257.63
731,0,170034.95
629,156847.29,31824.29
614,137104.47,127166.49
438,78398.69,44937.01
652,0,188603.07
729,63669.42,145111.37
642,0,171463.83
806,135296.33,182822.5
744,153804.44,87213.33
474,0,57175.32
559,147069.78,120540.83
706,0,28714.34
628,0,85426.28
429,95741.75,46170.75
525,145965.33,64448.36
680,141441.75,16278.97
749,139290.41,182855.42
763,0,50404.72
734,0,107640.25
716,144428.87,134132.65
594,0,103480.69
644,95441.27,108761.05
671,144848.74,179012.3
664,116244.14,95145.14
656,0,72143.44
667,146502.07,19162.89
663,117028.6,144680.18
584,112013.81,177772.03
626,108269.37,5597.94
485,182123.79,116828.51
659,150923.74,174652.51
649,0,2010.98
805,165272.13,14109.85
716,115301.31,43527.4
642,129502.49,86099.23
659,118342.26,161574.19
545,0,38970.14
543,0,127587.22
718,0,30380.12
840,0,90908.95
630,106937.05,138275.01
643,170331.37,32171.79
654,114510.85,126143.23
582,0,129892.93
659,107594.11,102416.84
762,81273.13,18719.67
568,169399.6,61936.22
670,0,78358.94
613,187841.99,147224.27
539,0,160979.66
850,126776.3,132298.49
522,126436.29,174248.52
737,101960.74,123547.28
520,0,32790.02
706,0,181543.67
643,150842.93,2319.96
648,102535.57,189543.19
443,99027.61,10940.4
640,0,199493.38
628,0,188193.25
540,87271.41,172572.64
460,102742.91,189339.6
636,40105.51,53512.16
593,152265.43,34004.44
801,141947.67,10598.29
640,106307.91,113428.77
611,107884.81,183487.98
802,125013.72,187658.09
717,58469.37,172459.39
769,0,21016
745,117231.63,122381.02
572,152390.26,128123.66
629,34013.63,19570.63
687,0,188150.6
483,0,111020.24
690,101583.11,123775.15
492,77168.87,146700.22
709,124695.72,145251.35
705,105934.96,82463.69
560,0,15928.49
611,0,45886.33
730,0,186489.95
709,0,162922.65
544,161525.96,9262.77
712,147199.07,84932.4
752,183102.29,71557.12
648,127209,77405.95
556,0,417.41
594,97378.54,71405.17
645,136925.09,153400.24
557,54503.55,371.05
547,155726.85,67789.99
701,0,145894.9
616,135842.41,183840.51
605,63349.75,108887.44
593,129499.42,154071.27
751,0,179291.85
443,70438.01,56937.43
685,0,112239.03
718,0,45909.87
538,141434.04,173779.25
611,0,125696.26
668,152958.29,159585.61
537,138306.34,106761.47
709,0,129590.18
850,0,80006.65
745,124328.84,140451.52
693,181461.48,187929.43
795,0,167155.36
626,0,191420.71
487,110368.03,11384.45
556,89588.35,94898.1
643,0,106781.59
605,0,159508.52
756,115924.89,93524.19
586,0,87168.46
535,111756.5,8128.32
678,0,125518.32
596,0,48963.59
648,162923.85,98368.24
492,124576.65,148584.61
702,80793.58,27474.81
486,71340.09,76192.21
568,99282.63,134600.94
619,137946.39,72467.99
724,127892.57,199645.45
548,101084.36,42749.85
545,114754.08,136050.44
683,0,73564.44
762,99286.98,85578.63
627,79871.02,129826.89
516,104088.59,119666
800,168190.33,68052.08
464,85679.25,164104.74
626,0,80190.36
790,0,84126.75
534,121551.58,70179
745,122220.19,118024.1
553,116528.15,145704.19
748,77780.29,183049.41
722,0,120906.83
501,125832.2,100433.83
675,68065.8,138777
778,127299.34,124694.99
494,174937.64,40084.32
850,0,119232.33
592,110071.1,43921.36
590,139432.37,62222.81
758,127357.76,56577
506,0,164253.35
733,0,7666.73
711,0,68487.51
514,95556.31,199273.98
637,0,186062.36
468,111681.98,195711.16
539,0,36692.17
509,108738.71,106920.57
662,133950.37,48725.68
818,0,167036.94
608,89968.69,68777.26
850,0,18924.92
816,130878.75,71905.77
536,0,64833.28
753,0,184843.77
631,134169.62,176730.02
703,149762.08,20629.4
774,93844.69,28415.36
785,0,77231.27
571,0,102750.7
621,141078.37,34580.8
605,117992.59,183598.77
611,100812.33,147358.27
569,0,108469.2
658,80262.6,20612.82
788,156478.62,181196.76
525,0,160249.1
798,0,110783.28
486,115217.99,144995.33
615,0,150227.85
730,155470.55,53718.28
641,0,75248.3
542,135096.77,14353.43
692,0,130486.57
714,180075.22,100127.71
591,97541.24,196356.17
710,156067.05,9983.88
639,81550.94,118974.77
531,0,194998.34
673,170061.92,134901.34
765,92310.54,72924.56
622,169089.38,101057.95
806,80613.93,142838.64
757,121581.56,127059.04
570,0,116503.92
555,0,54405.79
692,0,88721.84
774,85891.55,74135.48
638,77637.35,111346.22
543,0,194902.16
584,0,31474.27
691,116927.89,21198.39
684,137326.65,186976.6
733,0,117202.19
599,0,143739.29
524,67238.98,161811.23
632,86569.76,98090.91
735,0,71095.41
734,133598.4,13107.24
605,136188.78,67110.59
793,0,88225.02
468,0,62256.87
779,120092.52,135925.72
698,101238.24,177815.87
707,89685.92,126471.13
850,211774.31,188574.12
850,131317.48,119175.45
527,93722.73,139093.73
696,101160.99,115916.55
661,120320.54,96463.25
776,0,112349.51
701,0,165303.79
610,0,166031.08
572,152827.99,38411.79
673,64097.75,77783.35
519,119035.35,29871.79
702,135219.57,59747.63
729,93694.42,79919.13
543,59408.63,76773.53
550,114354.95,54018.93
608,0,70649.64
639,128173.9,59093.39
686,0,127569.8
564,114931.35,18260.98
745,111071.36,73275.96
833,151226.18,136129.49
622,0,153237.59
597,64740.12,106841.12
721,169312.13,109078.35
504,0,87822.14
842,112652.08,126644.98
587,0,47414.15
479,143964.36,41879.99
508,122451.46,75808.1
749,0,47911.03
721,65253.07,28737.78
674,106901.94,2079.2
685,128509.63,121562.33
417,0,55003.79
574,129834.67,193131.42
590,154962.99,191932.27
587,138241.9,159418.1
598,91536.93,191468.78
741,0,38913.68
850,0,705.18
584,105204.01,138490.03
650,152968.73,82970.69
607,158261.68,76744.72
509,0,71244.59
689,121021.05,12182.15
543,0,141210.5
438,0,191763.07
687,137715.66,37938.74
737,121192.22,74890.58
761,0,166698.18
601,100486.18,62678.53
651,0,67740.08
745,92566.53,161519.77
648,0,159835.78
848,110929.96,30876.84
546,0,14858.1
439,138901.61,75685.97
755,123217.66,144183.1
593,0,65170.66
701,0,82526.92
701,0,169161.46
607,108431.87,109291.39
586,0,6057.81
547,72392.41,77077.14
647,119741.77,54954.51
760,100946.71,179614.8
621,170491.84,35588.07
725,0,117356.14
526,0,160696.72
519,157296.02,147278.43
713,144606.22,56594.36
700,134811.3,1299.75
666,115897.12,25095.03
630,82034,146326.45
779,174318.13,38296.21
611,114206.84,164061.6
685,0,107811.28
646,111574.41,30838.51
683,162448.69,9221.78
484,148249.54,33738.27
601,0,110916.15
762,123709.46,169654.57
687,0,69829.4
566,0,54926.51
702,150525.8,94728.49
601,0,80393.27
699,0,111307.98
584,0,19834.32
699,0,78397.24
698,111018.98,86410.28
495,129755.99,172749.65
650,0,1002.39
605,129555.7,13601.79
667,87202.38,77866.91
688,146133.39,175296.76
727,0,121751.04
754,170184.99,89593.26
612,140745.33,193437.89
546,139070.51,86945
673,0,183318.79
593,114193.24,71154.1
656,167878.5,151887.16
535,141616.55,75888.65
678,145747.67,89566.74
477,129120.64,26475.79
850,110349.82,126355.8
427,141325.56,93839.3
752,78653.84,7698.6
649,0,145593.85
799,142253.65,45042.56
589,0,61108.56
583,115988.86,57553.98
839,75592.43,62674.42
540,164113.04,12120.79
850,67996.23,50129.87
696,0,55022.43
660,0,117834.91
682,138778.15,168840.23
744,147832.15,24234.11
785,135438.4,190627.01
752,116060.08,156618.38
706,112564.62,42334.38
583,125406.58,110784.42
660,135134.99,173683
819,133102.92,27046.46
673,42157.08,20598.59
752,0,104991.28
578,82259.29,8996.97
438,0,64420.5
652,0,145700.22
629,0,196335.48
720,0,14781.12
668,150461.07,108139.23
459,133994.52,19287.06
729,164870.81,9567.39
498,121702.73,132210.49
549,193858.2,21600.11
601,131039.97,199661.5
544,113829.45,124341.49
751,0,15766.1
632,81877.38,33642.21
694,116326.07,117704.65
678,0,58803.28
695,0,137537.22
661,0,131300.68
661,0,84174.81
559,127070.73,160941.78
503,0,143954.99
695,122549.64,56297.85
640,176099.13,8404.73
624,122388.38,30020.09
667,0,58137.42
642,0,47472.68
640,118879.35,19131.71
529,0,187288.5
563,0,17603.81
593,88736.44,67020.03
739,102703.62,147802.94
788,0,41610.62
684,0,44255.65
482,97318.25,78416.14
591,128468.69,137254.55
651,133432.59,151303.48
749,141782.57,86333.63
583,135125.28,89801.9
661,178820.91,29358.57
715,112212.14,181600.72
769,126674.81,124118.71
625,136294.97,38867.46
641,66392.64,31106.67
716,122552.34,67611.36
767,76408.85,77837.63
745,145071.24,6078.46
589,0,177896.92
796,109730.22,123882.73
664,0,15304.08
445,64119.38,76569.64
543,106138.33,120657.32
746,0,16436.56
742,181656.51,107667.91
750,0,95611.47
669,95128.86,19799.26
594,126615.94,123214.74
574,0,71709.12
659,76190.48,149066.14
750,168286.81,20451.99
626,88109.81,32825.5
620,0,6232.31
580,0,10357.03
686,123971.51,147794.63
540,148116.48,116973.48
634,116269.01,129964.94
632,120599.21,92816.86
501,144260.5,172114.67
650,86605.5,16649.31
786,0,144517.19
554,58629.97,182038.6
701,0,24210.56
474,0,172175.9
621,0,47578.45
672,209767.31,150694.42
459,129634.25,177683.02
669,0,66088.83
776,169824.46,169291.7
694,97530.25,117140.41
787,145988.65,79510.37
580,0,77108.66
711,0,9679.28
673,137494.28,81753.92
499,0,131372.38
591,147360,25310.82
769,0,187925.75
657,125167.02,98820.39
738,121152.05,64166.7
545,128981.07,176924.21
497,0,90055.08
816,151858.98,72814.31
525,114628.4,168290.06
725,0,161767.38
692,95059.02,44420.18
618,128736.39,37147.61
546,156325.38,125381.02
635,105405.97,149853.89
611,88915.37,161435.02
650,0,102925.76
606,0,70899.27
844,160980.03,145936.28
450,177619.71,54227.06
727,62276.99,59280.79
460,127559.97,126952.5
649,0,130567.02
758,95523.16,73294.48
490,107749.03,3937.37
815,110777.26,2383.59
838,166733.92,14279.44
803,157120.86,141300.53
664,127160.78,78140.75
736,0,117431.1
633,156091.97,72008.61
664,98668.18,60887.58
600,134022.06,194764.83
693,124151.09,88705.14
663,77253.5,35817.97
742,114292.48,31520.4
710,140080.32,157908.19
710,135277.96,142200.15
700,0,182055.36
720,115920.62,157552.08
684,119782.72,120284.67
531,114715.71,24506.95
742,129748.54,47271.61
717,129722.57,41176.6
589,0,9468.64
767,139180.2,123880.19
636,113599.74,158887.09
648,134944,117036.38
622,116922.25,120415.61
692,118945.09,16064.25
754,0,52615.62
679,119182.73,121210.09
639,0,192247.35
774,71264.02,68759.57
517,0,75937.47
571,0,84569.13
747,116313.57,190696.35
792,92140.15,67468.67
688,0,104435.94
714,177640.09,47166.55
562,0,119899.52
704,167997.6,173498.45
698,82275.35,93249.26
611,0,142917.54
850,111962.99,111755.8
743,131736.88,108543.21
654,0,180345.44
761,108239.11,99444.02
702,98444.19,109563.28
488,114540.38,92568.07
683,187530.66,37976.36
601,133636.16,103315.74
605,0,173952.5
671,84745.03,34673.98
614,120599.38,46163.44
511,0,140676.98
850,127771.35,151738.54
790,0,14679.81
793,0,175544.02
628,0,181964.6
598,167772.96,136886.86
657,95845.6,122218.23
618,0,180439.75
681,134714.7,190419.81
516,0,58685.59
421,122384.22,89017.38
700,0,50051.42
745,157993.15,146041.45
696,0,191166.09
580,123331.36,103516.08
497,75263.16,164825.04
720,137824.03,172557.77
659,132578.92,84320.94
841,156021.31,122662.98
642,0,72085.1
732,137453.43,110932.24
600,0,143635.36
464,164284.72,3710.34
680,0,179843.33
758,0,10643.38
630,112373.49,131167.98
577,0,10553.31
684,0,130928.22
708,0,157003.99
732,154333.82,138527.56
634,111432.77,167032.49
633,0,41642.29
559,137390.11,9677
694,0,147012.22
686,111642.08,80553.87
553,0,30730.95
507,83543.37,140134.43
732,145338.76,91936.1
818,186796.37,178252.63
660,58641.43,198674.08
773,0,28266.9
640,137148.68,92381.01
505,80001.23,135180.11
714,86402.52,27330.59
468,0,125305.34
611,122874.74,149648.45
705,97544.29,59887.15
646,170826.55,45041.32
667,97133.92,113316.77
511,153895.65,39087.42
653,0,7330.59
675,0,95463.29
523,0,167848.02
567,134956.02,93953.84
741,143637.58,174227.66
456,147506.25,135399.21
598,0,195635.3
667,190227.46,97508.04
548,172448.77,188083.77
725,113980.21,116704.25
717,0,97614.87
594,0,186884.04
678,76968.12,131501.72
545,88293.13,24302.95
636,170833.46,110510.28
603,108122.39,108488.33
435,0,197015.2
535,0,27689.77
629,129818.39,9217.55
722,163943.89,15068.18
561,0,7797.01
645,101430.3,4400.32
501,117301.66,182025.95
502,173340.83,122763.95
652,0,38152.01
574,134348.57,63163.99
518,105525.65,73418.29
749,0,17978.68
679,0,115136.51
565,106192.1,149575.59
643,45144.43,60917.24
515,92113.61,142548.33
521,0,157878.67
739,128366.44,12796.43
585,0,18657.77
733,106545.53,134589.58
542,145618.37,10350.74
788,141541.25,66013.27
435,57017.06,5907.11
577,0,74077.91
703,0,77294.56
728,125884.95,54359.02
728,61825.5,156124.93
718,0,94820.85
621,0,155155.25
523,102967.41,128702.1
657,171770.55,22745.5
727,93051.64,71865.31
643,161064.64,84294.82
645,90612.34,149139.13
568,145105.64,185489.11
599,0,176407.15
672,0,92027.69
685,174912.72,43932.54
516,104947.72,115789.25
685,135213.71,125777.28
806,0,18461.9
604,116229.85,79633.38
648,111201.41,121542.29
545,0,94739.2
756,131899,93302.29
569,124525.52,193793.78
596,0,74835.65
475,0,56999.9
646,47134.75,57236.44
784,0,81483.64
552,0,26752.56
729,0,9200.54
609,0,22447.85
555,0,189122.89
572,138657.08,16161.82
785,70302.48,68600.36
714,101609.01,447.73
738,0,15650.73
639,130170.82,149599.62
520,133802.29,90304.01
764,106234.02,115676.38
661,132628.98,38812.67
564,103522.75,34338.21
708,192390.52,823.36
512,0,135482.26
592,0,10656.89
619,0,116467.35
775,109922.61,96823.32
850,128605.32,171096.2
577,0,79881.39
724,68598.56,157862.82
710,106518.52,127951.81
696,0,191074.11
376,0,157333.69
675,121326.42,133457.52
745,67226.37,130789.6
697,82931.85,128373.88
599,0,194273.2
715,118590.41,5684.17
659,145981.87,131043.2
684,73309.38,21228.34
635,130796.33,43250.3
789,151607.56,4389.4
571,111577.01,189271.9
694,107042.74,102284.2
665,156371.61,156774.94
706,129605.99,69865.49
807,0,85523.24
771,0,51219.8
531,132576.25,7222.92
629,129101.3,23971.33
850,108822.4,132173.31
685,137948.51,113639.64
642,100433.8,39768.59
529,96134.11,108732.96
683,115888.04,117349.19
663,124626.07,78004.5
563,139810.34,152417.79
637,0,26057.08
544,84496.71,79972.09
649,116854.71,107125.79
638,138333.03,47679.14
723,0,134509.47
635,78992.75,153265.31
750,97257.41,179883.04
730,122453.37,138882.98
750,112940.07,9855.81
586,132558.26,67046.83
520,0,56388.63
652,133297.24,77764.37
550,0,130590.35
594,197041.8,151912.49
749,71497.79,151083.8
668,0,777.37
614,128100.28,69454.24
773,124532.78,11723.57
551,82293.82,91565.25
566,142120.91,79616.37
569,151839.26,102299.81
659,149620.88,104533.51
722,168197.66,140765.57
655,93147,66214.13
615,97440.02,139816.1
752,65046.08,140139.28
661,95357.49,102297.15
838,123105.88,145765.83
610,0,83912.24
811,0,78439.73
587,121286.27,6776.92
811,167738.82,9903.42
759,104091.29,91561.91
648,121980.56,4027.02
788,0,116111.51
725,50880.98,184023.54
646,175159.9,67124.48
601,105514.69,50070.59
521,116497.31,53793.1
561,0,45261.47
564,99824.45,36721.4
444,0,130009.85
650,0,175380.77
724,0,127847.25
719,122964.88,138231.7
548,0,48673.18
635,0,70668.77
496,0,199505.53
676,89634.69,169583.18
541,95710.11,49063.42
778,139706.31,63337.19
850,103909.86,60083.11
633,0,48606.71
625,173434.9,165580.93
485,102238.01,194010.12
547,179380.74,69263.1
642,0,88698.83
718,108691.95,63030.97
582,0,59668.81
628,0,184230.23
737,133377.8,64050.19
828,0,81853.98
609,0,154642.91
730,116537.6,145679.6
631,0,30781.77
830,0,81622.52
645,130131.08,196474.35
663,0,176276.1
678,0,35113.08
521,107316.09,64299.82
625,0,180969.55
523,83181.29,138176.78
714,0,86733.61
580,153946.14,7418.92
722,0,166376.54
630,135483.17,140881.2
579,0,4460.2
670,119624.54,110472.12
588,121132.26,86460.28
807,0,16500.66
726,0,114020.06
812,54817.55,131660.31
631,107949.45,52449.62
682,0,161465.31
625,80816.45,20018.79
607,98205.77,176318.27
600,94684.27,50488.91
602,141604.76,30379.6
545,0,161326.73
675,0,45348.08
581,122949.14,180251.68
640,81677.22,34925.56
850,80293.98,126555.74
490,155413.06,187921.3
710,0,136390.88
613,67111.65,78566.64
812,103818.43,166038.27
723,0,140385.33
512,152169.12,38629.3
731,0,24998.75
650,214346.96,128815.33
594,0,19376.56
844,113348.14,31904.31
686,170935.94,173179.79
695,103023.26,22485.64
624,0,196668.51
503,0,136506.86
535,111855.04,36278.89
743,140348.56,163254.39
702,0,99654.13
658,145512.84,20207.02
677,146720.98,4195.84
664,107209.73,112340.2
766,130933.74,2035.94
461,0,132295.95
688,89772.3,177383.68
678,0,90284.47
796,0,61349.37
803,0,196466.83
712,100749.5,70758.37
498,0,13892.57
850,0,9684.52
628,123981.31,40546.15
539,91622.42,136603.42
732,126195.81,133172.48
715,94267.9,152821.12
651,0,147715.83
813,0,43169.15
692,0,76755.99
756,100717.85,73406.04
543,0,176728.28
790,141581.71,98309.27
494,0,6203.66
850,148586.64,176791.27
703,0,50679.48
432,0,150580.88
512,123403.85,80120.19
589,0,151645.96
514,106511.85,55072.32
678,0,115068.99
420,135549.9,149471.13
679,110555.37,46522.68
595,0,189995.86
713,185891.54,46369.57
833,130854.59,30722.52
690,92578.14,70810.6
731,132312.06,106663.46
608,144976.5,175836.03
479,87070.23,85646.41
519,0,101485.72
731,115414.19,191734.67
617,91070.43,101839.77
756,117412.19,4888.91
848,90018.45,193132.98
809,0,193518.76
698,112414.81,93982.02
779,158456.76,197000.92
606,0,106837.06
612,149641.53,115161.28
663,122528.18,196260.3
549,143734.01,96404.38
675,155663.31,97658.66
669,0,49108.23
571,101736.66,195651.66
500,125822.21,111698
628,0,171707.93
559,0,66721.98
769,0,57876.05
733,157791.07,177994.81
750,0,105125.65
583,0,17439.66
468,181627.14,172668.39
727,109679.72,753.37
618,96652.86,98686.4
617,190008.32,107047.92
793,0,152153.74
630,0,34338.04
765,148962.76,173878.87
546,0,159254.29
614,131344.52,54776.64
593,101713.84,134594.99
613,0,41724.72
655,0,110527.71
700,137963.07,8996.79
826,129938.07,190200.53
652,151421.44,115333.43
755,135643,143619.52
538,122773.5,58467.08
729,152303.8,12128.69
615,0,49872.33
700,79415.67,139735.54
434,125801.03,60891.8
729,0,100862.54
513,0,76640.29
755,104817.41,126013.58
615,0,87347.82
747,67495.04,77370.37
850,164850.54,62722.44
712,154776.42,196257.68
622,143124.63,81723.8
548,0,31299.71
607,0,63495.86
653,102133.38,166520.96
699,79932.41,150242.44
693,120711.73,27345.18
647,122717.53,87000.39
478,92363.3,44912.7
705,203715.15,179978.68
719,0,145759.7
726,0,14121.61
626,0,66232.23
552,0,190296.76
807,93460.47,172782.69
621,0,99128.13
651,40224.7,178341.33
673,168069.73,146992.24
652,0,151314.98
584,130538.77,92915.84
756,132623.6,58974
670,103465.02,174627.06
765,126547.8,79579.94
528,128262.72,50771.16
701,169742.64,153537.55
797,0,132975.39
639,150795.81,85208.93
785,129855.72,170214.82
363,146098.43,100615.14
764,0,186105.99
676,0,55119.53
718,65643.3,28760.99
590,0,171021.44
584,104584.16,176678.72
645,0,28667.56
772,99785.28,197238.03
399,127655.22,139994.68
529,0,151169.83
463,101257.16,118113.64
630,0,34453.17
780,121313.88,64872.33
584,0,10956.82
752,81523.38,36885.85
697,128252.66,168053.4
850,0,155227
711,0,38409.79
452,0,75279.39
610,0,158302.59
694,0,11525.72
579,0,94993.04
745,0,173912.29
572,0,41139.05
505,145541.56,58019.95
706,0,164128.41
693,124601.58,46998.13
725,115182.84,177279.41
791,163789.49,75832.53
536,65733.41,61094.53
699,0,30117.44
500,128486.11,179227.12
707,109663.47,52110.45
531,88324.31,75248.75
557,146445.24,184317.74
659,0,158553.1
575,0,95686.42
775,109949.05,71682.54
772,78653.05,1790.48
587,107850.82,139431
667,83765.35,118358.54
771,143773.07,130827.88
523,116227.27,119404.63
662,103471.52,162703
717,0,172665.21
746,137492.35,170142.09
569,0,73977.23
579,129829.59,60906.12
519,146329.57,194867.27
696,114027.7,193716.56
693,146580.69,14633.35
587,132122.42,31730.32
626,81553.93,20063.63
666,0,99792.82
512,0,37654.31
689,0,192449.02
803,0,181208.47
548,175214.71,155165.61
588,125534.51,121504.18
693,97705.99,61569.07
499,126817.65,123269.71
628,46870.43,31272.14
624,0,62825.03
733,120094.93,184056.45
628,0,48924.73
633,0,191111.02
559,104356.94,54184.06
704,147004.34,64381.33
744,73023.17,78770.86
665,173432.55,116766.79
638,165679.92,32916.29
837,104678.62,50972.6
534,116973.26,122066.5
548,0,65996.9
837,126732.85,79577.38
658,148481.09,130529.13
554,137654.05,172629.67
724,115315.04,15216.53
723,99095.73,17512.53
585,165610.41,131852.01
474,0,181945.52
562,161628.66,91482.5
719,146605.27,77119.45
635,113488.68,95611.74
743,77002.2,80428.42
681,0,163714.92
521,0,27375.15
741,0,73873.65
790,182364.53,139266.48
622,0,131772.51
669,149364.58,173454.07
